lan,lac,year,s,ss,emissions
Barnsley,E08000016,2008,Domestic,Domestic 'Other Fuels',85.3059385
Barnsley,E08000016,2008,Industry,Industry Electricity,185.6917673
Barnsley,E08000016,2008,Industry,Industry Gas,155.4592881
Barnsley,E08000016,2008,Industry,Large Industrial Installations,46.30267659
Barnsley,E08000016,2008,Industry,Industry 'Other Fuels',80.97380882
Barnsley,E08000016,2008,Industry,Agriculture,6.633931615
Barnsley,E08000016,2008,LULUCF,LULUCF Net Emissions: Forest land,-16.02346467
Barnsley,E08000016,2008,LULUCF,LULUCF Net Emissions: Cropland,7.851491233
Barnsley,E08000016,2008,LULUCF,LULUCF Net Emissions: Grassland,-8.091341347
Barnsley,E08000016,2008,LULUCF,LULUCF Net Emissions: Wetlands,-2.094345754
Barnsley,E08000016,2008,LULUCF,LULUCF Net Emissions: Settlements,5.716537556
Barnsley,E08000016,2008,Public Sector,Public Sector Electricity,23.0590797
Barnsley,E08000016,2008,Public Sector,Public Sector Gas,26.29389507
Barnsley,E08000016,2008,Public Sector,Public Sector 'Other Fuels',0.386347611
Barnsley,E08000016,2008,Transport,Road Transport (A roads),167.1436605
Barnsley,E08000016,2008,Transport,Road Transport (Motorways),161.5393678
Barnsley,E08000016,2008,Transport,Road Transport (Minor roads),154.6553314
Barnsley,E08000016,2008,Transport,Diesel Railways,5.22419677
Barnsley,E08000016,2008,Transport,Transport Other,2.740619475
Barnsley,E08000016,2009,Commercial,Commercial Electricity,90.88121599
Barnsley,E08000016,2009,Commercial,Commercial Gas,31.44997672
Barnsley,E08000016,2009,Commercial,Commercial 'Other Fuels',1.051882112
Barnsley,E08000016,2009,Domestic,Domestic Electricity,180.7114229
Barnsley,E08000016,2009,Domestic,Domestic Gas,281.8870746
Barnsley,E08000016,2009,Domestic,Domestic 'Other Fuels',87.01889378
Barnsley,E08000016,2009,Industry,Industry Electricity,159.1337836
Barnsley,E08000016,2009,Industry,Industry Gas,123.9412383
Barnsley,E08000016,2009,Industry,Large Industrial Installations,34.33203488
Barnsley,E08000016,2009,Industry,Industry 'Other Fuels',75.9036438
Barnsley,E08000016,2009,Industry,Agriculture,6.42723191
Barnsley,E08000016,2009,LULUCF,LULUCF Net Emissions: Forest land,-16.09916898
Barnsley,E08000016,2009,LULUCF,LULUCF Net Emissions: Cropland,7.98379749
Barnsley,E08000016,2009,LULUCF,LULUCF Net Emissions: Grassland,-8.159546479
Barnsley,E08000016,2009,LULUCF,LULUCF Net Emissions: Wetlands,-2.094345754
Barnsley,E08000016,2009,LULUCF,LULUCF Net Emissions: Settlements,5.588337309
Barnsley,E08000016,2009,Public Sector,Public Sector Electricity,19.76112701
Barnsley,E08000016,2009,Public Sector,Public Sector Gas,20.96303125
Barnsley,E08000016,2009,Public Sector,Public Sector 'Other Fuels',0.252905485
Barnsley,E08000016,2009,Transport,Road Transport (A roads),161.0038797
